,name,categories,latitude,longitude,neighborhood,NPU
17,Scott Antique Market (Atlanta Expo Center North),Antique Shop,33.65551944087731,-84.36625099825703,,B
18,The Chicken House,Mexican Restaurant,33.62144707964295,-84.35297001910313,,B
19,Wholesale Food Outlet,Convenience Store,33.62102739321301,-84.3542505588042,,B
22,The Home Depot,Hardware Store,33.64889514807436,-84.36764001846313,,B
23,Dollar General,Discount Store,33.612719,-84.348443,,B
25,Dollar Tree,Discount Store,33.6333878543978,-84.3579589271989,,B
26,Kroger,Supermarket,33.6003028,-84.3369326,,B
27,Holiday Bottle Shop,Liquor Store,33.590263259271794,-84.3645656794112,,B
28,Quality Fresh Seafood,Seafood Restaurant,33.58765869689589,-84.37772938857145,,B
30,Family Dollar,Discount Store,33.625401,-84.355609,,B
31,Baskin-Robbins,Ice Cream Shop,33.60057893659988,-84.33989544870846,,B
32,Benefield's Eatery & Saloon,American Restaurant,33.58275746956969,-84.37635006909042,,B
33,KFC,Fried Chicken Joint,33.62018617624898,-84.3525144926424,,B
34,CVS pharmacy,Pharmacy,33.61749256027729,-84.35698920353191,,B
35,American Deli,American Restaurant,33.63088444963139,-84.38620737706196,,B
36,Funtime Bowl,Bowling Alley,33.62238476742344,-84.35341104161762,,B
37,Little Caesars Pizza,Pizza Place,33.61925105661074,-84.3632585387684,,B
38,Subway,Sandwich Place,33.631825610268805,-84.35740633918347,,B
39,Piggly Wiggly,Grocery Store,33.62428,-84.3551,,B
40,FedEx Ship Center,Shipping Store,33.634112734041025,-84.39231634140015,,B
41,Family Dollar,Discount Store,33.64549,-84.36393,,B
42,Dunkin',Donut Shop,33.6005536598711,-84.3399956668436,,B
43,W.H. Reynolds Memorial Nature Preserve,Park,33.601043752445115,-84.3471121987247,,B
44,Waffle House,Breakfast Spot,33.61857033973863,-84.38667763217785,,A
45,Dollar Tree,Discount Store,33.600726422763664,-84.33749405278708,,B
46,Food Depot,Grocery Store,33.59086453914642,-84.3648236989975,,B
47,Church's Chicken,Fried Chicken Joint,33.6326296143928,-84.35712394448477,,B
48,National Archives at Atlanta,History Museum,33.59771878835111,-84.33770735451361,,B
49,Firestone Complete Auto Care,Automotive Shop,33.620136,-84.3519,,B
14,Jerk Palace,Caribbean Restaurant,33.585311708612174,-84.33916221843457,,B
17,Cook-Out,Burger Joint,33.584071889776105,-84.33979929109654,,B
19,VN Pho,Vietnamese Restaurant,33.5816919950882,-84.34032764559893,,B
21,Envegan,Vegetarian / Vegan Restaurant,33.582597,-84.336713,,B
